epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.46240234375,0.7542235255241394,0.0010000000474974513,3.251422882080078,0.49494948983192444,0.19140625,0.5009765625,0.7826694250106812,1.2012226581573486,0.0,0.0
1,0.525390625,0.8047119379043579,0.0010000000474974513,1.0117532014846802,0.5940343737602234,0.286865234375,0.5283203125,0.836871325969696,0.996833086013794,0.7692307829856873,0.29296875
2,0.615966796875,0.8699640035629272,0.0010000000474974513,0.8384975790977478,0.6861441731452942,0.478759765625,0.6015625,0.8716306686401367,0.8834164142608643,0.7347670197486877,0.400390625
3,0.7236328125,0.9229680895805359,0.0010000000474974513,0.6558748483657837,0.7651798725128174,0.649169921875,0.74609375,0.9314465522766113,0.7684857249259949,0.8629343509674072,0.4365234375
4,0.801025390625,0.956183910369873,0.0010000000474974513,0.49198684096336365,0.8269383311271667,0.762939453125,0.837890625,0.9708654880523682,0.4084599018096924,0.8550873398780823,0.8125
5,0.84619140625,0.9723249077796936,0.0010000000474974513,0.39039871096611023,0.8661195039749146,0.824462890625,0.869140625,0.9819024801254272,0.37888404726982117,0.8971668481826782,0.8349609375
6,0.89111328125,0.9864547252655029,0.0010000000474974513,0.27034687995910645,0.9007976055145264,0.88232421875,0.923828125,0.9900787472724915,0.24535338580608368,0.9324055910110474,0.916015625
7,0.916259765625,0.9907341003417969,0.0010000000474974513,0.22044816613197327,0.9240506291389465,0.908935546875,0.9248046875,0.9906821846961975,0.2261793613433838,0.9288537502288818,0.91796875
8,0.931396484375,0.9935075640678406,0.0010000000474974513,0.1849137246608734,0.937252938747406,0.92626953125,0.9560546875,0.9955293536186218,0.16237802803516388,0.9653807878494263,0.953125
9,0.945068359375,0.995449423789978,0.0010000000474974513,0.1486467719078064,0.9511111378669739,0.9404296875,0.9609375,0.9957412481307983,0.13628947734832764,0.9636898636817932,0.958984375
10,0.95166015625,0.9960242509841919,0.0010000000474974513,0.13366840779781342,0.9538196921348572,0.947998046875,0.966796875,0.9968001246452332,0.12383241951465607,0.9714285731315613,0.962890625
11,0.953369140625,0.9966968894004822,0.0010000000474974513,0.12153323739767075,0.9551360607147217,0.951171875,0.966796875,0.9963361620903015,0.125209242105484,0.9676153063774109,0.962890625
12,0.96826171875,0.9981611371040344,0.0010000000474974513,0.09176453202962875,0.9698455333709717,0.9658203125,0.9755859375,0.9962969422340393,0.10457045584917068,0.976401150226593,0.9697265625
13,0.969970703125,0.9985305070877075,0.0010000000474974513,0.08638770133256912,0.9713375568389893,0.968017578125,0.9765625,0.9980257749557495,0.09018818289041519,0.977450966835022,0.9736328125
14,0.96826171875,0.9982131719589233,0.0010000000474974513,0.0914924144744873,0.9708046913146973,0.966064453125,0.97265625,0.9969685077667236,0.10039491206407547,0.9745097756385803,0.970703125
15,0.969482421875,0.9979577660560608,0.0010000000474974513,0.08395448327064514,0.971106767654419,0.96826171875,0.9736328125,0.9969236254692078,0.0985652506351471,0.9763546586036682,0.9677734375
16,0.9736328125,0.998688817024231,0.0010000000474974513,0.07797981798648834,0.9745222926139832,0.97119140625,0.9716796875,0.9968796372413635,0.09129640460014343,0.9735811948776245,0.9716796875
17,0.970703125,0.9979967474937439,0.0010000000474974513,0.08389241993427277,0.9720861911773682,0.96923828125,0.9716796875,0.996381938457489,0.10514611005783081,0.973555326461792,0.970703125
18,0.979248046875,0.9990656971931458,0.0010000000474974513,0.059613700956106186,0.980430543422699,0.978515625,0.96875,0.9963105320930481,0.09670453518629074,0.9715964794158936,0.96875
19,0.98388671875,0.9996110796928406,0.0005000000237487257,0.044865939766168594,0.9841153621673584,0.983154296875,0.98046875,0.9974988698959351,0.07624297589063644,0.98046875,0.98046875
